id,commonName,placeType,lat,lon
BikePoints_243,"Gloucester Street, Pimlico",BikePoint,51.490962,-0.139625
BikePoints_244,"Bucknall Street, Covent Garden",BikePoint,51.51615,-0.128417
BikePoints_245,"Grosvenor Road, Pimlico",BikePoint,51.485357,-0.142207
BikePoints_246,"Berry Street, Clerkenwell",BikePoint,51.522853,-0.099994
BikePoints_247,"St. John's Wood Church, The Regent's Park",BikePoint,51.530529,-0.167515
BikePoints_248,"Triangle Car Park, Hyde Park",BikePoint,51.506451,-0.170279
BikePoints_249,"Harper Road, The Borough",BikePoint,51.498597,-0.096191
BikePoints_250,"Royal Avenue 1, Chelsea",BikePoint,51.489932,-0.162727
BikePoints_251,"Brushfield Street, Liverpool Street",BikePoint,51.518908,-0.079249
BikePoints_253,"Shoreditch Park, Hoxton",BikePoint,51.534042,-0.086379
BikePoints_255,"Clifton Road, Maida Vale",BikePoint,51.525575,-0.179592
BikePoints_256,"Houghton Street, Strand",BikePoint,51.51362,-0.116764
BikePoints_257,"Westminster University, Marylebone",BikePoint,51.522481,-0.154907
BikePoints_258,"Kensington Gore, Knightsbridge",BikePoint,51.501432,-0.178656
BikePoints_259,"Bourne Street, Belgravia",BikePoint,51.490959,-0.153233
BikePoints_260,"Broadwick Street, Soho",BikePoint,51.513684,-0.13558
BikePoints_261,"Princes Square, Bayswater",BikePoint,51.513489,-0.191351
BikePoints_262,"LSBU (Borough Road), Elephant & Castle",BikePoint,51.498744,-0.103132
BikePoints_263,"St. Mary Axe, Aldgate",BikePoint,51.514225,-0.08066
BikePoints_264,"Tysoe Street, Clerkenwell",BikePoint,51.526443,-0.109256
BikePoints_265,"Southwick Street, Paddington",BikePoint,51.515953,-0.169249
BikePoints_266,"Queen's Gate (North), Kensington",BikePoint,51.501026,-0.180246
BikePoints_267,"Regency Street, Westminster",BikePoint,51.49206,-0.132224
BikePoints_268,"Belgrave Road, Victoria",BikePoint,51.493204,-0.144132
BikePoints_269,"Empire Square, The Borough",BikePoint,51.500823,-0.08974
BikePoints_271,"London Zoo,  The Regent's Park",BikePoint,51.535836,-0.156285
BikePoints_272,"Baylis Road, Waterloo",BikePoint,51.501444,-0.110699
BikePoints_273,"Belvedere Road 1, South Bank",BikePoint,51.506133,-0.114686
BikePoints_275,"Barbican Centre, Barbican",BikePoint,51.520044,-0.092176
BikePoints_276,"Lower Thames Street, Monument",BikePoint,51.509301,-0.084985
BikePoints_277,"Kensington Church Street, Kensington",BikePoint,51.503157,-0.191496
BikePoints_278,"Tooley Street, Bermondsey",BikePoint,51.503493,-0.07962
BikePoints_279,"North Wharf Road, Paddington",BikePoint,51.518623,-0.176603
BikePoints_280,"Royal Avenue 2, Chelsea",BikePoint,51.490083,-0.162418
BikePoints_281,"Smith Square, Westminster",BikePoint,51.495805,-0.127575
BikePoints_282,"Royal London Hospital, Whitechapel",BikePoint,51.518675,-0.06111
BikePoints_283,"Kingsway, Covent Garden",BikePoint,51.514409,-0.118478
BikePoints_284,"Lambeth North Station, Waterloo",BikePoint,51.49914,-0.112031
BikePoints_286,"St. John's Wood Road, St. John's Wood",BikePoint,51.527294,-0.174653
BikePoints_287,"Bedford Way, Bloomsbury",BikePoint,51.523673,-0.128377
BikePoints_288,"Elizabeth Bridge, Victoria",BikePoint,51.492369,-0.147478
BikePoints_289,"South Audley Street, Mayfair",BikePoint,51.50923,-0.151289
BikePoints_290,"St Mary's Hospital, Paddington",BikePoint,51.518268,-0.171103
BikePoints_291,"Claverton Street, Pimlico",BikePoint,51.484839,-0.138089
BikePoints_292,"Montpelier Street, Knightsbridge",BikePoint,51.498884,-0.165471
BikePoints_293,"Kensington Olympia Station, Olympia",BikePoint,51.498157,-0.209494
BikePoints_294,"St. George's Square, Pimlico",BikePoint,51.488226,-0.135635
BikePoints_295,"Swan Street, The Borough",BikePoint,51.500296,-0.092762
BikePoints_296,"Knaresborough Place, Earl's Court",BikePoint,51.493631,-0.190603
BikePoints_297,"Geraldine Street, Elephant & Castle",BikePoint,51.496127,-0.106
BikePoints_298,"Curlew Street, Shad Thames",BikePoint,51.502279,-0.074189
BikePoints_299,"Vincent Square, Westminster",BikePoint,51.493985,-0.136928
BikePoints_300,"Serpentine Car Park, Hyde Park",BikePoint,51.505014,-0.17306
BikePoints_301,"Marylebone Lane, Marylebone",BikePoint,51.514759,-0.148105
BikePoints_302,"Putney Pier, Wandsworth",BikePoint,51.466907,-0.216573
BikePoints_303,"Albert Gate, Hyde Park",BikePoint,51.502953,-0.158456
BikePoints_306,"Rathbone Street, Fitzrovia",BikePoint,51.518162,-0.135025
BikePoints_307,"Black Lion Gate, Kensington Gardens",BikePoint,51.509908,-0.187842
BikePoints_308,"Long Lane , Bermondsey",BikePoint,51.499075,-0.085666
BikePoints_309,"Embankment (Savoy), Strand",BikePoint,51.509631,-0.119047
BikePoints_310,"Black Prince Road, Vauxhall",BikePoint,51.490867,-0.116911
BikePoints_311,"Foley Street, Fitzrovia",BikePoint,51.519181,-0.140485
BikePoints_312,"Grove End Road, St. John's Wood",BikePoint,51.530889,-0.17677
BikePoints_313,"Wells Street, Fitzrovia",BikePoint,51.517344,-0.138072
BikePoints_314,"Tyers Gate, Bermondsey",BikePoint,51.500889,-0.083159
BikePoints_315,"The Tennis Courts, The Regent's Park",BikePoint,51.525367,-0.153463
BikePoints_316,"Warwick Row, Westminster",BikePoint,51.497998,-0.14296
BikePoints_317,"Dickens Square, Borough",BikePoint,51.496791,-0.093913
BikePoints_318,"Sackville Street, Mayfair",BikePoint,51.510048,-0.138846
BikePoints_319,"Baldwin Street, St. Luke's",BikePoint,51.527025,-0.088542
BikePoints_320,"Queen Mother Sports Centre, Victoria",BikePoint,51.493573,-0.139956
BikePoints_321,"Bermondsey Street, Bermondsey",BikePoint,51.497855,-0.081608
BikePoints_322,"Palissy Street, Shoreditch",BikePoint,51.526293,-0.073955
BikePoints_323,"Clifton Street, Shoreditch",BikePoint,51.523196,-0.083067
BikePoints_324,"Ontario Street, Elephant & Castle",BikePoint,51.49652,-0.101384
BikePoints_325,"St. Martin's Street, West End",BikePoint,51.509087,-0.129697
BikePoints_326,"Graham Street, Angel",BikePoint,51.532661,-0.099981
BikePoints_327,"Westbourne Green, Westbourne",BikePoint,51.522168,-0.192814
BikePoints_328,"New North Road 2, Hoxton",BikePoint,51.53114,-0.086016
BikePoints_329,"Prince Albert Road, The Regent's Park",BikePoint,51.535892,-0.160854
BikePoints_330,"Eastbourne Mews, Paddington",BikePoint,51.516417,-0.179135
BikePoints_331,"Bunhill Row, Moorgate",BikePoint,51.520858,-0.089887
BikePoints_332,"Nevern Place, Earl's Court",BikePoint,51.493343,-0.194757
BikePoints_333,"Palace Gardens Terrace, Notting Hill",BikePoint,51.508605,-0.193764
BikePoints_335,"Tavistock Street, Covent Garden",BikePoint,51.511968,-0.120718
BikePoints_337,"Pembridge Villas, Notting Hill",BikePoint,51.511084,-0.197524
