date_key,date,year,month,day,weekday,hour
20240104,2024-01-04 18:56:00,2024,1,4,Thursday,18
20240104,2024-01-04 19:01:00,2024,1,4,Thursday,19
20240104,2024-01-04 19:03:00,2024,1,4,Thursday,19
20240104,2024-01-04 19:50:00,2024,1,4,Thursday,19
20240104,2024-01-04 19:52:00,2024,1,4,Thursday,19
20240104,2024-01-04 19:57:00,2024,1,4,Thursday,19
20240104,2024-01-04 19:59:00,2024,1,4,Thursday,19
20240104,2024-01-04 20:27:00,2024,1,4,Thursday,20
20240104,2024-01-04 20:28:00,2024,1,4,Thursday,20
20240104,2024-01-04 20:31:00,2024,1,4,Thursday,20
20240104,2024-01-04 21:11:00,2024,1,4,Thursday,21
20240104,2024-01-04 21:37:00,2024,1,4,Thursday,21
20240104,2024-01-04 21:50:00,2024,1,4,Thursday,21
20240104,2024-01-04 23:40:00,2024,1,4,Thursday,23
20240105,2024-01-05 00:00:00,2024,1,5,Friday,0
20240105,2024-01-05 00:05:00,2024,1,5,Friday,0
20240105,2024-01-05 00:08:00,2024,1,5,Friday,0
20240105,2024-01-05 00:15:00,2024,1,5,Friday,0
20240105,2024-01-05 00:25:00,2024,1,5,Friday,0
20240105,2024-01-05 00:30:00,2024,1,5,Friday,0
20240105,2024-01-05 00:45:00,2024,1,5,Friday,0
20240105,2024-01-05 00:52:00,2024,1,5,Friday,0
20240105,2024-01-05 01:01:00,2024,1,5,Friday,1
20240105,2024-01-05 01:20:00,2024,1,5,Friday,1
20240105,2024-01-05 01:31:00,2024,1,5,Friday,1
20240105,2024-01-05 01:40:00,2024,1,5,Friday,1
20240105,2024-01-05 01:50:00,2024,1,5,Friday,1
20240105,2024-01-05 02:00:00,2024,1,5,Friday,2
20240105,2024-01-05 02:20:00,2024,1,5,Friday,2
20240105,2024-01-05 02:40:00,2024,1,5,Friday,2
20240105,2024-01-05 02:50:00,2024,1,5,Friday,2
20240105,2024-01-05 03:48:00,2024,1,5,Friday,3
20240105,2024-01-05 03:54:00,2024,1,5,Friday,3
20240105,2024-01-05 04:00:00,2024,1,5,Friday,4
20240105,2024-01-05 04:20:00,2024,1,5,Friday,4
20240105,2024-01-05 04:43:00,2024,1,5,Friday,4
20240105,2024-01-05 04:45:00,2024,1,5,Friday,4
20240105,2024-01-05 04:51:00,2024,1,5,Friday,4
20240105,2024-01-05 08:18:00,2024,1,5,Friday,8
20240105,2024-01-05 08:59:00,2024,1,5,Friday,8
20240105,2024-01-05 09:15:00,2024,1,5,Friday,9
20240105,2024-01-05 09:34:00,2024,1,5,Friday,9
20240105,2024-01-05 09:35:00,2024,1,5,Friday,9
20240105,2024-01-05 09:56:00,2024,1,5,Friday,9
20240105,2024-01-05 10:07:00,2024,1,5,Friday,10
20240105,2024-01-05 10:10:00,2024,1,5,Friday,10
20240105,2024-01-05 10:15:00,2024,1,5,Friday,10
20240105,2024-01-05 10:16:00,2024,1,5,Friday,10
20240105,2024-01-05 10:19:00,2024,1,5,Friday,10
20240105,2024-01-05 10:25:00,2024,1,5,Friday,10
20240105,2024-01-05 10:30:00,2024,1,5,Friday,10
20240105,2024-01-05 10:34:00,2024,1,5,Friday,10
20240105,2024-01-05 10:36:00,2024,1,5,Friday,10
20240105,2024-01-05 10:40:00,2024,1,5,Friday,10
20240105,2024-01-05 10:43:00,2024,1,5,Friday,10
20240105,2024-01-05 10:44:00,2024,1,5,Friday,10
20240105,2024-01-05 10:50:00,2024,1,5,Friday,10
20240105,2024-01-05 11:15:00,2024,1,5,Friday,11
20240105,2024-01-05 11:17:00,2024,1,5,Friday,11
20240105,2024-01-05 11:19:00,2024,1,5,Friday,11
20240105,2024-01-05 11:20:00,2024,1,5,Friday,11
20240105,2024-01-05 11:22:00,2024,1,5,Friday,11
20240105,2024-01-05 11:31:00,2024,1,5,Friday,11
20240105,2024-01-05 11:34:00,2024,1,5,Friday,11
20240105,2024-01-05 11:35:00,2024,1,5,Friday,11
20240105,2024-01-05 11:38:00,2024,1,5,Friday,11
20240105,2024-01-05 11:49:00,2024,1,5,Friday,11
20240105,2024-01-05 11:52:00,2024,1,5,Friday,11
20240105,2024-01-05 11:55:00,2024,1,5,Friday,11
20240105,2024-01-05 12:04:00,2024,1,5,Friday,12
20240105,2024-01-05 12:08:00,2024,1,5,Friday,12
20240105,2024-01-05 12:10:00,2024,1,5,Friday,12
20240105,2024-01-05 12:15:00,2024,1,5,Friday,12
20240105,2024-01-05 12:25:00,2024,1,5,Friday,12
20240105,2024-01-05 12:43:00,2024,1,5,Friday,12
20240105,2024-01-05 12:47:00,2024,1,5,Friday,12
20240105,2024-01-05 12:48:00,2024,1,5,Friday,12
20240105,2024-01-05 13:17:00,2024,1,5,Friday,13
20240105,2024-01-05 13:26:00,2024,1,5,Friday,13
20240105,2024-01-05 13:35:00,2024,1,5,Friday,13
20240105,2024-01-05 13:40:00,2024,1,5,Friday,13
20240105,2024-01-05 13:42:00,2024,1,5,Friday,13
20240105,2024-01-05 13:45:00,2024,1,5,Friday,13
20240105,2024-01-05 13:50:00,2024,1,5,Friday,13
20240105,2024-01-05 13:51:00,2024,1,5,Friday,13
20240105,2024-01-05 13:57:00,2024,1,5,Friday,13
20240105,2024-01-05 13:59:00,2024,1,5,Friday,13
20240105,2024-01-05 14:00:00,2024,1,5,Friday,14
20240105,2024-01-05 14:04:00,2024,1,5,Friday,14
20240105,2024-01-05 14:06:00,2024,1,5,Friday,14
20240105,2024-01-05 15:16:00,2024,1,5,Friday,15
20240105,2024-01-05 16:00:00,2024,1,5,Friday,16
20240105,2024-01-05 16:03:00,2024,1,5,Friday,16
