ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
215,18,VILLA DE VALLECAS,AVDA. MAYORAZGO / AUTOV. M-45,,,131,
216,18,VILLA DE VALLECAS,"CALL. ALTO DEL RETIRO, 10",,,10,
217,8,FUENCARRAL-EL PARDO,"AUTOV. M-30, 29NC91",,,29NC91,
218,1,CENTRO,"CALL. GRAN VIA, 31",,,31,
219,3,RETIRO,"AUTOV. M-30, 10NL20",,,10NL20,
220,5,CHAMARTÍN,AVDA. PIO XII / CALL. JEREZ,,,6,
221,4,SALAMANCA,"CALL. O'DONNELL, 77",,,77,
222,20,SAN BLAS-CANILLEJAS,CALL. PIRRA / CALL. ARACNE,,,14,
223,5,CHAMARTÍN,GTA. LOPEZ DE HOYOS / CALL. EDISON,,,3,
224,1,CENTRO,"CALL. JACOMETREZO, 1",,,1,
225,6,TETUÁN,"CALL. ORENSE, 15",,,15,
226,9,MONCLOA-ARAVACA,CALL. GOLONDRINA / CALL. ROSAS DE ARAVACA,,,104,
227,20,SAN BLAS-CANILLEJAS,"CALL. HELSINKI, 29",,,29,
228,16,HORTALEZA,CALL. JOSE ANTONIO FERNANDEZ ORDOÑEZ / CALL. GUSTAVO PEREZ PUIG,,,46,
229,11,CARABANCHEL,CALL. ANTONIO LOPEZ / CALL. BALEARES,,,24,
230,13,PUENTE DE VALLECAS,CALL. LA CENICIENTA / CALL. MOGAMBO,,,3,
231,19,VICÁLVARO,CALL. VILLABLANCA / CALL. MINERVA,,,1,
232,19,VICÁLVARO,AVDA. MIGUEL DELIBES / CALL. LA RODA,,,1,
233,17,VILLAVERDE,"CALL. CAMPOS IBAÑEZ, 22",,,22,
234,2,ARGANZUELA,"AVDA. PLANETARIO, 20",,,20,
235,12,USERA,"CALL. ANTONIO LOPEZ, 254A",,,254A,
236,4,SALAMANCA,CALL. ALCALA / CALL. JULIO CAMBA,,,200A,
237,13,PUENTE DE VALLECAS,"AUTOV. A-3, P.K 4,400",,,+00400S,
238,11,CARABANCHEL,"AVDA. CARABANCHEL ALTO, 96",,,96,
239,9,MONCLOA-ARAVACA,"GTA. SAN VICENTE, 1",,,1,
240,1,CENTRO,RONDA. ATOCHA / PLAZA. EMPERADOR CARLOS V,,,2,
241,17,VILLAVERDE,"AVDA. RAFAELA YBARRA, 133",,,133,
242,4,SALAMANCA,"CALL. SERRANO, 81",,,81,
243,14,MORATALAZ,PLAZA. CORREGIDOR LICENCIADO ANTONIO DE MENA / AVDA. DOCTOR GARCIA TAPIA,,,0,
244,13,PUENTE DE VALLECAS,AVDA. ENTREVIAS / CALL. CARDEÑOSA,,,40,
